1000;1000;2020-04-15;2020-04-29;2020-05-10;10;133.93;.33
1001;1001;2020-04-10;2020-04-30;2020-05-30;18;307.70;.43
1002;1002;2020-04-30;2020-05-05;2020-05-30;210;4366.91;.48
1003;1003;2020-05-01;2020-05-10;2020-05-15;45;1057.29;.53
1004;1004;2020-05-05;2020-05-20;2020-05-25;100;2099.65;.65
1005;1005;2020-05-10;2020-05-20;2020-05-25;600;10498.50;.75
1006;1006;2020-05-16;2020-05-30;2020-06-04;999;16980.50;.75
1007;1007;2020-06-01;NULL;NULL;300;4499.55;.75
1008;1008;2020-06-02;NULL;NULL;999;3995.80;.98
1009;1009;2020-06-03;NULL;NULL;5;124.98;.50
1010;1010;2020-06-04;NULL;NULL;2;34.19;.43
